subject_id,condition,channel,band,lowcut,highcut,plv,wpli,plv_pref_lag_s,plv_dom_freq,n_samples
2,AUD,EEG-ch17,delta,0.5,4.0,0.007972840657998184,0.012040675252854093,0.1278234738877552,2.25,81334
2,AUD,EEG-ch18,delta,0.5,4.0,0.007972840657998184,0.012040675252854093,0.1278234738877552,2.25,81334
2,AUD,EEG-ch19,delta,0.5,4.0,0.007972840657998184,0.012040675252854093,0.1278234738877552,2.25,81334
2,AUD,EEG-ch20,delta,0.5,4.0,0.030929826464067244,0.046127344307244224,0.13458746077663228,2.25,81334
2,AUD,EEG-ch21,delta,0.5,4.0,0.009782644856359287,0.0021476256952810634,0.21244625769880487,2.25,81334
2,AUD,EEG-ch22,delta,0.5,4.0,0.008268835909805204,0.005849308675275338,0.1896555125662552,2.25,81334
2,AUD,EEG-ch23,delta,0.5,4.0,0.007972840657998184,0.012040675252854093,0.1278234738877552,2.25,81334
2,AUD,EEG-ch24,delta,0.5,4.0,0.033877928113481656,0.02851933013399811,0.18243844775285445,2.25,81334
2,AUD,EEG-ch25,delta,0.5,4.0,0.041033898055547205,0.04244642093307137,0.17195466688965294,2.25,81334
2,AUD,EEG-ch26,delta,0.5,4.0,0.010564831859811476,0.012741462018825802,0.1616951888241587,2.25,81334
2,AUD,EEG-ch27,delta,0.5,4.0,0.001660761261532944,0.0013123434391083201,-0.185458296346383,2.25,81334
2,AUD,EEG-ch28,delta,0.5,4.0,0.007972840657998184,0.012040675252854093,0.1278234738877552,2.25,81334
2,AUD,EEG-ch29,delta,0.5,4.0,0.01977047589249387,0.02966630750768819,0.08913100152955271,2.25,81334
