subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,optimal_lag_samples
3,RS1,EEG-ch10,theta,4.0,8,-0.015410399238236231,5.8350301414289526e-05,-0.07694265527368166,289.0625,74
3,RS1,EEG-ch11,theta,4.0,8,0.037668094861121715,8.56306217700763e-23,-0.06735932222844827,292.96875,75
3,RS1,EEG-ch12,theta,4.0,8,0.021914391490446706,1.0898260575237109e-08,-0.06984090281801554,285.15625,73
3,RS1,EEG-ch13,theta,4.0,8,-0.002428746612905222,0.5264489465683639,-0.0766692947284872,289.0625,74
3,RS1,EEG-ch14,theta,4.0,8,-0.022621816069564687,3.619799556521095e-09,-0.07216549546355139,289.0625,74
3,RS1,EEG-ch15,theta,4.0,8,0.04206576589515168,4.989472161039059e-28,-0.0602809201978415,-105.46875,-27
3,RS1,EEG-ch16,theta,4.0,8,0.04092035943100699,1.3069354523302666e-26,-0.07772030964052211,292.96875,75
3,RS1,EEG-ch17,theta,4.0,8,0.010869864719910194,0.004582211356835336,-0.07146427707337148,285.15625,73
3,RS1,EEG-ch18,theta,4.0,8,-0.001669438474235039,0.663270505318526,-0.08025468883225927,292.96875,75
3,RS1,EEG-ch19,theta,4.0,8,-0.02612135714846129,9.505000421834158e-12,0.06106334077799626,-195.3125,-50
3,RS1,EEG-ch20,theta,4.0,8,0.03754915098962176,1.1649558988791647e-22,-0.061817032248104996,-105.46875,-27
3,RS1,EEG-ch21,theta,4.0,8,0.02598521683040344,1.2161389191195797e-11,-0.06336229159504149,285.15625,73
3,RS1,EEG-ch22,theta,4.0,8,0.0015738234170552287,0.6814648379519208,-0.06453543387364295,289.0625,74
3,RS1,EEG-ch23,theta,4.0,8,-0.02556427035684604,2.585356321173317e-11,-0.05484948337161578,292.96875,75
3,RS1,EEG-ch24,theta,4.0,8,0.04598440022092882,3.577984383499322e-33,-0.05496274478913198,-93.75,-24
3,RS1,EEG-ch25,theta,4.0,8,0.013343064902427624,0.0005011799384932507,0.04327266614187846,378.90625,97
3,RS1,EEG-ch26,theta,4.0,8,0.006792277747074057,0.07647813547786875,-0.050758100065654725,289.0625,74
3,RS1,EEG-ch27,theta,4.0,8,-0.014927759134662747,9.881351259717898e-05,-0.0493401056942633,-121.09375,-31
3,RS1,EEG-ch28,theta,4.0,8,-0.026272411049657225,7.2204871345376465e-12,-0.050823476198345256,-273.4375,-70
3,RS1,EEG-ch29,theta,4.0,8,0.005827702101945007,0.12853089733374426,-0.04448717257653943,-261.71875,-67
3,RS1,EEG-ch30,theta,4.0,8,0.03328626988975886,3.830592119360319e-18,-0.0412981840900446,-97.65625,-25
