channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch8,low_beta,mixed-lm,-0.015974140531341472,0.280544640083654,10,5,mixed,1.0
EEG-ch9,low_beta,mixed-lm,-0.004204986980835221,0.6961808046957203,10,5,mixed,1.0
EEG-ch1,theta,mixed-lm,-0.005722839499305636,0.6807438762843216,10,5,mixed,4.043444788250899e-05
EEG-ch10,theta,mixed-lm,-0.008533207455541586,0.5273306748767477,10,5,mixed,4.043444788250899e-05
EEG-ch11,theta,mixed-lm,9.639847005359913e-05,0.9942755698147485,10,5,mixed,4.043444788250899e-05
EEG-ch12,theta,mixed-lm,-0.005964222979230379,0.5956024277677932,10,5,mixed,4.043444788250899e-05
EEG-ch13,theta,mixed-lm,-0.02999750699869556,1.263576496328406e-06,8,4,mixed,4.043444788250899e-05
EEG-ch14,theta,mixed-lm,-0.016149137181213157,0.14464578863843322,10,5,mixed,0.1637285571091346
EEG-ch15,theta,mixed-lm,-0.0009063788411939611,0.932180094236441,10,5,mixed,0.1637285571091346
EEG-ch16,theta,mixed-lm,-0.006272075839716911,0.5481987322858176,10,5,mixed,0.1637285571091346
EEG-ch17,theta,mixed-lm,-0.004258956403227949,0.6126545377777238,9,5,mixed,0.1637285571091346
EEG-ch18,theta,mixed-lm,-0.016803636251310053,0.10957253966531537,8,4,mixed,0.1637285571091346
EEG-ch19,theta,mixed-lm,-0.003980961525121009,0.6769320311849926,8,4,mixed,0.1637285571091346
EEG-ch2,theta,mixed-lm,-0.008017695849170576,0.5158394452308736,10,5,mixed,0.1637285571091346
EEG-ch20,theta,mixed-lm,-0.009056675080437069,0.22706317610382198,10,5,mixed,0.1637285571091346
EEG-ch21,theta,mixed-lm,0.005615420579800367,0.6458165898261242,10,5,mixed,0.1637285571091346
EEG-ch22,theta,mixed-lm,0.002053662059032783,0.8537738405176808,10,5,mixed,0.1637285571091346
EEG-ch23,theta,mixed-lm,-0.017126283542385188,0.09379102308728068,8,4,mixed,0.1637285571091346
EEG-ch24,theta,mixed-lm,-0.006450638152461495,0.43978557174807786,10,5,mixed,0.1637285571091346
EEG-ch25,theta,mixed-lm,-0.007887797704443492,0.5128153867082992,10,5,mixed,0.1637285571091346
EEG-ch26,theta,mixed-lm,-0.0017166795424333292,0.8732256349969112,10,5,mixed,0.1637285571091346
EEG-ch27,theta,mixed-lm,-0.011939643327224674,0.27627665260270196,10,5,mixed,0.1637285571091346
EEG-ch28,theta,mixed-lm,-0.008818712440851983,0.28378666854214063,8,4,mixed,0.1637285571091346
EEG-ch29,theta,mixed-lm,-0.019670090499371025,0.04247189503123158,10,5,mixed,0.1637285571091346
EEG-ch3,theta,mixed-lm,-0.009917290200234503,0.44226789281384615,10,5,mixed,0.1637285571091346
EEG-ch30,theta,mixed-lm,-0.02061201426018405,0.010233034819320912,10,5,mixed,0.1637285571091346
EEG-ch31,theta,mixed-lm,-0.017619965815392092,0.059406645142565974,10,5,mixed,0.4752531611405278
EEG-ch32,theta,mixed-lm,-0.00833774293471734,0.3223076068972863,10,5,mixed,0.6456640478096932
EEG-ch4,theta,mixed-lm,-0.005552033158151526,0.7103497310779123,10,5,mixed,0.6456640478096932
EEG-ch5,theta,mixed-lm,-0.0002726803294145512,0.9812684621995215,10,5,mixed,0.6456640478096932
EEG-ch6,theta,mixed-lm,0.0051931490571627496,0.6860760577516036,10,5,mixed,0.6456640478096932
EEG-ch7,theta,mixed-lm,0.011593629865784105,0.30562915560965576,10,5,mixed,0.6456640478096932
EEG-ch8,theta,mixed-lm,0.0032344631484268072,0.8080638784289853,10,5,mixed,0.6456640478096932
EEG-ch9,theta,mixed-lm,-0.02313924165185856,0.1412390104583704,10,5,mixed,0.6456640478096932
